宜昌物业管理人员,4.5-6千
店长(烘焙门店）,6-8千
高管教育中心市场管理人员岗,10-14万
养护工区管理人员,8千-1.2万
现场管理人员,6-9千
副店长（肇庆二十支）,4-4.7千
储备管理人员/管培生,5-6千
测试台管理人员,5-5.5千
生产管理人员,8千-1万
物业秩序主管,6.5-7.5千
现场管理人员,6-9千
生产管理人员,6千-1万
食堂高级管理人员,1-1.4万·14薪
医学现场调查助理（岱山）,6-7.3千
资深质量管理人员,40-60万/年
现场管理人员,6-9千
海外度假村行政、市场及管理人员,1-1.5万·13薪
顶瓜瓜店长（飞龙吾悦）,4-7千
设备管理（储备管理人员岗位）,8千-1.2万·13薪
企业管理人员,5-9千
现场管理人员,6-9千
销售副总监,6-8千
设备管理（储备管理人员岗位）,8千-1.2万·13薪
科研管理人员（项目专员）,7千-1.4万
企业管理人员,5-9千
生产总监,1-2万
现场管理人员,6-9千
英茂咖啡公司中高级管理人员,25-35万/年
资深质量管理人员,40-60万/年
生产总监,1-2万
养护工区管理人员,8千-1.2万
现场管理人员,6-9千
工程管理人员,5千-1万
物业维修管理人员,4.5-5.5千
公路养护工区管理人员,8千-1.2万
高级管理人员,3.5-5万·14薪
工程管理人员,8千-1.2万
安全生产管理人员,4-6千
后勤部内业管理人员,4.5-5.5千
生产管理人员,5千-1万
高级管理人员,3.5-5万·14薪
湖北禹龙公司—现场管理人员,10-12万/年
施工现场管理人员,5千-1万
6.后勤管理人员,6-8千
农林项目管理人员,4-6千
高级管理人员（储备）,15-20万/年
现场管理人员,7-9千
无纺布、流延膜复合生产管理人员,10-20万/年
现场管理人员,7-9千
大型仪器设备平台管理人员,1.5-3万
安全管理人员（股份公司）,1-1.6万
专职安全管理人员,7.5千-1万
计划/质量管理人员,6-9千
品质管理人员,5-6.5千
专职安全管理人员,8千-1.2万
药品生产/质量管理人员（含部门）,8千-1万
工程建设管理人员,8千-1.2万·13薪
招聘公路，铁路工程管理人员,6千-1.1万
养护工区管理人员,8千-1.2万
生产管理人员,5千-1万
生产管理人员,1-2万
设备/标准物质管理人员,4-6千
科研管理人员,7千-1万
资深技术研发管理人员,40-60万/年
法务内控管理人员,8千-1.2万·14薪
矿山工程技术与管理人员-矿山安全,1.2-1.5万
商场保安/管理人员包吃包住,5-6千
设备/标准物质管理人员,4-6千
变电站运维管理人员,8千-1.2万·13薪
储备核心管理人员,8千-1万
生产管理人员,1-2万
物业管理人员,4.5-5.5千
财务管理人员,8千-1.2万·14薪
医院管理人员,1-2万
生产管理人员,1-2万
风险管理人员,5-7千·15薪
储备管理人员,1.5-3万·13薪
安全管理人员-博泽,6千-1万
生产管理人员,6-8千
高管教育中心行政管理人员岗,10-14万
施工现场管理人员,5千-1万
工程建设管理人员,8千-1.2万·13薪
高级管理人员,6-8千
原辅料仓库管理人员,6-7千
表面处理管理人员,1-1.5万
QC仪器分析/管理人员,6千-1.2万
湖北禹龙公司—现场管理人员,10-12万/年
APP系统管理人员,6-8千
农林项目管理人员,4-6千
质量管理人员,8千-1万
